"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SN2005lm","2005/11/10","20.02","-17.8942","SDSS J01504.88+002118.4","0.08466,0.084713","II","0.0213",""
"SN1994X","1994/08/15","18.5","-18.4855","2MASX J00152051-2453337","0.055598","Ia","0.0153",""
"SN2011fp","2011/08/29","17.8","-16.73","NGC 57","0.0181","Ia","0.0654",""
"SN2010dq","2010/06/03","17.3","-17.23","NGC 57","0.0181","Ia","0.0657",""
"SDSS-II SN 16468","2006/10/29","21.17","-18.9366","SDSS J01532.14+000657.1","0.226581","Ia","0.0228",""
"SN2007jv","2007/09/14","20.9","-18.39","A001536-0023","0.157","Ia","0.0326",""
"SDSS-II SN 20709","2007/11/08","22.02","-19.3111","SDSS J01539.06-001001.4","0.390557","Ia","0.0235",""
"SDSS-II SN 17372","2007/09/03","21.75","-17.3751","SDSS J01545.88-000418.2","0.146134","Ia","0.0229",""
"SDSS-II SN 15987","2006/10/12","21.86","-19.7437","SDSS J01602.24+000641.9","0.44093","Ia","0.0224",""
"SDSS-II SN 13689","2006/09/11","20.77","-19.58","SDSS J01603.65+004830.0","0.252,0.252,0.323,0.329,0.238","Ia","0.0219",""
"SDSS-II SN 2651","2005/09/03","21.22","-20.29","","0.423,0.359","Ia","0.0204",""
"SN2007gt","2007/08/16","18.5","-18.644","SDSS J01626.60-002102.3","0.05976","Ia","0.0238",""
"SN2009lv","2009/11/19","17.4","","A001626+2226","","Ia","0.0595",""
"SN2006fz","2006/09/12","19.25","-19.133","SDSS J01641.84-002530.5","0.1047","Ia","0.024",""
"OGLE-2013-SN-129","2013/11/18","19.08","-19","","0.08","Ia","0.0159",""
"SDSS-II SN 20314","","21.16","-18.7759","SDSS J01643.02+004321.2","0.209985","Ia","0.0217",""
"SN2017ya","2017/01/24","17.95","-20","","0.07","Ia","0.0449",""
"SN2007lf","2007/09/03","19.67","-16.8077","SDSS J01646.29+011237.0","0.044125","Ia","0.0239",""
"SNF20080910-005","2008/09/10","19.1","-19.061","","0.09469","Ia","0.0332",""
"SDSS-II SN 13784","2006/09/12","21.38","-19.03","","0.259,0.232","Ia","0.0252",""
"SDSS-II SN 2926","2005/09/09","21.34","-19.4295","SDSS J01648.66+002542.3","0.304287","Ia","0.0208",""
"SN2004ii","2004/11/03","20.7","-19.09","A001651-0024","0.197,0.2,0.197","Ia","0.0238",""
"SDSS-II SN 18644","2007/09/19","21.95","","","","Ia","0.0214",""
"SN2005ji","2005/10/27","19","-21","SDSS J01718.33-001526.2","0.22,0.22","Ia","0.0211",""
